location,latitude,longitude,magnitude,depth,day,hour,minute,sec
EMIROGLU-PAZARCIK (KAHRAMANMARAS),37.3198,37.0392,3.8, 3.7 km,9,18,18,50
KIRISKAL-NURDAGI (GAZIANTEP),37.2493,36.8427,3.5, 5.8 km,9,17,37,35
POLAT-DOGANSEHIR (MALATYA),38.1892,37.8447,3.8, 5.0 km,9,17,17,44
TOKCA-ASKALE (ERZURUM),39.7362,40.6027,3, 5.0 km,9,16,52,47
TOZLUCA-ASKALE (ERZURUM),39.7852,40.644,3, 5.0 km,9,16,50,22
KALEDIBI-HANI (DIYARBAKIR),38.51,40.402,3, 1.6 km,9,16,43,19
OLUCAK-NURDAGI (GAZIANTEP),37.1825,36.7035,3, 5.6 km,9,16,40,49
FINDIK-GOKSUN (KAHRAMANMARAS),38.0547,36.6963,3.3, 7.4 km,9,16,34,13
PAZARCIK-PUTURGE (MALATYA),38.2122,38.7147,3.7, 5.0 km,9,16,30,37
GOKSUN (KAHRAMANMARAS),37.9995,36.487,3.7, 1.2 km,9,16,18,56
KAMBERLIKAYA-KIRIKHAN (HATAY),36.5227,36.4808,3.2, 4.6 km,9,16,11,46
CARDAK-GOKSUN (KAHRAMANMARAS),38.1212,36.8318,3.1, 2.8 km,9,15,54,41
GOKSUN (KAHRAMANMARAS),38.0307,36.4853,3.5, 5.0 km,9,15,52,21
YUKARIKECILI-KOZAN (ADANA),37.7555,35.6345,3, 5.0 km,9,15,48,3
BOGAZICI-ISLAHIYE (GAZIANTEP),36.9575,36.5537,3.3, 8.5 km,9,15,39,44
SEYITUSAGI-YESILYURT (MALATYA),38.2853,38.1578,3.6, 4.0 km,9,15,32,48
ATALAR-SEHITKAMIL (GAZIANTEP),37.211,37.0263,3.8, 2.3 km,9,15,23,44
FINDIKKOY-DOGANSEHIR (MALATYA),38.1408,37.8222,3.9, 5.0 km,9,15,22,3
IKIZCE-YESILYURT (MALATYA),38.2867,38.2193,3, 5.0 km,9,15,8,33
ACIELMA-GOKSUN (KAHRAMANMARAS),38.008,36.4133,3.2, 5.4 km,9,14,50,32
KUCUKLU-DOGANSEHIR (MALATYA),38.0343,37.6943,4.2, 5.0 km,9,14,48,29
